location,family,subfamily,genus,species,subspecies,original entry,source,calibration,FO_LO,...11,...12,age,pal_lat
Singa,Gonyaulacaceae,Cribroperidinioideae,Operculodinium,eirikianum,NA,60% in CN15b,"Versteegh, 1997",0.8 in nan_c_CN15,LO,NA,NA,0.058,38.4413
Singa,Gonyaulacaceae,Cribroperidinioideae,Operculodinium,israelianum,NA,60% in CN15b,"Versteegh, 1997",0.8 in nan_c_CN15,FO,NA,NA,0.058,38.4413
Singa,Gonyaulacaceae,Cribroperidinioideae,Operculodinium,janduchenei,NA,60% in CN15b,"Versteegh, 1997",0.8 in nan_c_CN15,FO,NA,NA,0.058,38.4413
Gulf Coast1,Gonyaulacaceae,Cribroperidinioideae,Hystrichokolpoma,rigaudiae,NA,80% in N22,"Wrenn and Kokinos, 1986",0.8 in plfor_A_N22,LO,NA,NA,0.386,29.24982
Arctic Basin,Gonyaulacaceae,other,Chytroeisphaeridia,chytroeides,NA,0% in thouarsense,"Bujak et al., 2022",0 in amm_b_Grammoceras thouarsense,FO,NA,NA,178.34,72.353
Pannonian Basin,Areoligeraceae,all,Glaphyrocysta,reticulosa,NA,50% NN4,"Jiménez-Moreno et al., 2006",0.5 in nan_n_NN4,LO,NA,NA,16.4,45.155
Scotian Margin,Peridiniaceae,Deflandreoideae,Sumatradinium,spp.,NA,50% in messinian,"Williams et al., 1993",0.5 in stage_Messinian,LO,NA,NA,6.2915,41.672145
823,Peridiniaceae,Deflandreoideae,Sumatradinium,hispidum,NA,40% CN9,"McMinn, 1993",0.4 in nan_c_CN9,LO,NA,NA,7.186,-18.67595556
Gulf Coast1,Gonyaulacaceae,Cribroperidinioideae,Operculodinium,placitum,NA,80% in N22,"Wrenn and Kokinos, 1986",0.8 in plfor_A_N22,LO,NA,NA,0.386,29.24982
Scotian Margin,Gonyaulacaceae,Cribroperidinioideae,Hystrichokolpoma,rigaudiae,NA,100% NN19,"Fensome et al., 2008",1 in nan_n_NN19,LO,NA,NA,0.43,43.8409
E67-135,Gonyaulacaceae,Cribroperidinioideae,Hystrichokolpoma,rigaudiae,NA,40% in Bruhnes,"De Vernal et al., 1992",0.4 in mag_Bruhnes,LO,NA,NA,0.4638,20
Calvados,Gonyaulacaceae,Gonyaulacoideae,Gonyaulacysta,pectinigera,NA,75% humphriesianum,"Feist-Burkhardt and Monteil, 1997",0.75 in amm_b_Stephanoceras humphriesianum,FO,NA,NA,169.8275,30.925875
North Sea Compilation,Gonyaulacaceae,Gonyaulacoideae,Gonyaulacysta,jurassica,adecta,0% garantiana,"Riding and Thomas, 1992",0 in amm_b_Garantiana garantiana,FO,NA,NA,169.27,34.9095
nw Pacific,Gonyaulacaceae,Cribroperidinioideae,Hystrichokolpoma,okinawainum,NA,0% ionian,"Bujak and Matsuoka, 1986",0 in stage_Chibanian,LO,NA,NA,0.774,46.94768
nw Pacific,Gonyaulacaceae,Cribroperidinioideae,Hystrichokolpoma,pacificum,NA,0% ionian,"Bujak and Matsuoka, 1986",0 in stage_Chibanian,LO,NA,NA,0.774,46.94768
Mudurnu Basin,Gonyaulacaceae,other,Lanternosphaeridium,reinhardtii,NA,50% P0,"Açikalin et al., 2015",0.5 in plfor_B_P0,FO,NA,NA,66.02,30.4
Mudurnu Basin,Gonyaulacaceae,other,Lanternosphaeridium,reinhardtii,NA,33% in Pa,"Açikalin et al., 2015",0.33 in plfor_B_Pa,LO,NA,NA,65.91222,30.4
959,Protoperidiniaceae,all,Phelodinium,magnificum,NA,0% campanian,"Masure et al., 1998",0 in stage_Campanian,FO,NA,NA,83.65,-7.9985
North Sea Compilation,Protoperidiniaceae,all,Phelodinium,tricuspe,NA,80% quadrata,"Costa and Davey, 1992",0.5 in amm_b_Trachyscaphites spiniger,FO,NA,NA,80.82,42.7738
815,Peridiniaceae,Deflandreoideae,Sumatradinium,hispidum,NA,25% in CN9b,"McMinn, 1993",0.25 in nan_c_CN9b,LO,NA,NA,7.2925,-21.69046875
nw Australia compilation,Order Gonyaulacales Family uncertain,uncertain,Sahulidiniun,ottii,NA,50% in Ladinian,"Riding et al., 2010",0.5 in stage_Ladinian,FO,NA,NA,239.23,-36.738
nw Australia compilation,Order Gonyaulacales Family uncertain,uncertain,Sahulidiniun,ottii,NA,10% in Carnian,"Riding et al., 2010",0.1 in stage_Carnian,LO,NA,NA,236.03,-34.818
Marche,Gonyaulacaceae,Leptodinioideae,Acanthaulax,miocenica,NA,55% in C4n,"Zevenboom, 1995",0.55 in mag_C4n,LO,NA,NA,7.8016,41.2701632
Shukheir-1,Areoligeraceae,all,Chiropteridium,galea,NA,50% NN3,"Soliman et al., 2012",0.5 in nan_n_NN3,LO,NA,NA,18.56,23.9024
Shukheir-1,Areoligeraceae,all,Chiropteridium,galea,NA,100% NN2,"Soliman et al., 2012",1 in nan_n_NN2,FO,NA,NA,19.18,23.7722
Bordeaux,Areoligeraceae,all,Glaphyrocysta,texta,NA,80% NN2,"Londeix and Jan Du Chene, 1998",0.8 in nan_n_NN2,LO,NA,NA,19.88,39.92533333
548,Peridiniaceae,Deflandreoideae,Palaeocystodinium,golzowense,NA,25% NN11,"Brown and Downie, 1985",0.25 in nan_n_NN11,LO,NA,NA,7.6,46.644
Chesapeak Bay,Peridiniaceae,Deflandreoideae,Palaeocystodinium,golzowense,NA,100% NN10,"De Verteuil and Norris, 1996",1 in nan_n_NN10,LO,NA,NA,8.29,36.528
Dorset-Yorkshire,Gonyaulacaceae,Gonyaulacoideae,Gonyaulacysta,pectinigera,NA,0% garantiana,"Woollam and Riding, 1983",0 in amm_b_Garantiana garantiana,FO,NA,NA,169.27,33.6241
Chesapeak Bay,Peridiniaceae,Deflandreoideae,Sumatradinium,druggii,NA,100% NN10,"De Verteuil and Norris, 1996",1 in nan_n_NN10,LO,NA,NA,8.29,36.528
Marche,Areoligeraceae,all,Chiropteridium,galea,NA,50% in NN2,"Biffi and Manum, 1988",0.5 in nan_n_NN2,LO,NA,NA,20.93,37.79322872
Marche,Gonyaulacaceae,Leptodinioideae,Acanthaulax,miocenica,NA,45% in C4n,"Zevenboom, 1995",0.45 in mag_C4n,FO,NA,NA,7.8604,41.2541108
North Sea Compilation,Pareodiniaceae,all,Batioladinium,jaegeri,NA,70% rhotomagense,"Costa and Davey, 1992",0.7 in amm_b_Acanthoceras rhotomagense,LO,NA,NA,95.793,44.1793
nw Australia compilation,Shublikodiniaceae,all,Rhaetogonyaulax,wigginsii,NA,80% in Carnian,"Riding et al., 2010",0.8 in stage_Carnian,FO,NA,NA,229.24,-30.9416
Vega,Gonyaulacaceae,other,Chytroeisphaeridia,cerastes,NA,20% in athleta,"Århus et al., 1989",0.2 in amm_b_Peltoceras athleta,FO,NA,NA,162.818,49.3773
Vega,Gonyaulacaceae,other,Compositosphaeridium,polonicum,NA,50% in cordatum,"Århus et al., 1989",0.5 in amm_b_Cardioceras cordatum,FO,NA,NA,159.38,49.8465
1039,Gonyaulacaceae,Leptodinioideae,Lophocysta,sulcolimbata,NA,67% in tortonian,"Zegarra and Helenes, 2011",0.67 in stage_Tortonian,LO,NA,NA,8.702,3.165712
1039,Gonyaulacaceae,Leptodinioideae,Lophocysta,sulcolimbata,NA,0% in tortonian,"Zegarra and Helenes, 2011",0 in stage_Tortonian,FO,NA,NA,11.65,0.88
Marche,Gonyaulacaceae,Leptodinioideae,Systematophora,urbinii,NA,50% in C6An.1n,"Montanari et al., 1997",0.5 in mag_C6An.1n,FO,NA,NA,20.0805,37.91052936
Dorset-Yorkshire,Gonyaulacaceae,Gonyaulacoideae,Tubotuberella,spp.,NA,0% garantiana,"Woollam and Riding, 1983",0 in amm_b_Garantiana garantiana,FO,NA,NA,169.27,33.6241
6711,Pareodiniaceae,all,Batioladinium,jaegeri,NA,10% cenomanian,"Radmacher et al., 2015",0.1 in stage_Cenomanian,LO,NA,NA,99.84,60.1808
Scotian Margin,Gonyaulacaceae,Gonyaulacoideae,Gonyaulacysta,eisenackii,NA,85% in bajocian,"Williams et al., 1993",0.85 in stage_Bajocian,FO,NA,NA,168.5795,25.29774
Czestochowa,Gonyaulacaceae,Gonyaulacoideae,Escharisphaeridia,pocockii,NA,30% in parkinsoni,"Poulsen, 1998",0.3 in amm_t_Parkinsonia parkinsoni,FO,NA,NA,168.555,37.02225
Czestochowa,Gonyaulacaceae,Gonyaulacoideae,Escharisphaeridia,psilata,NA,40% in parkinsoni,"Poulsen, 1998",0.4 in amm_t_Parkinsonia parkinsoni,FO,NA,NA,168.5,37.025
Cabo Mondego,Gonyaulacaceae,Gonyaulacoideae,Gonyaulacysta,pectinigera,NA,60% parkinsoni,"Correia et al., 2019",0.6 in amm_t_Parkinsonia parkinsoni,FO,NA,NA,168.39,26.6415
908,Cladopyxiaceae,all,Licracysta,semicirculata,NA,0% C8n.1n,"Eldrett et al., 2019",0 in mag_C8n.1n,LO,NA,NA,25.264,71.53146667
Marche,Gonyaulacaceae,Leptodinioideae,Leptodinium,italicum,NA,0% in NN2,"Biffi and Manum, 1988",0 in nan_n_NN2,LO,NA,NA,22.68,37.55158525
Marche,Gonyaulacaceae,Leptodinioideae,Leptodinium,italicum,NA,75% P20,"Biffi and Manum, 1988",0.75 in plfor_A_P20,FO,NA,NA,29.457375,36.61575189
647,Gonyaulacaceae,Leptodinioideae,Areosphaeridium,arcuatum,NA,50% NP23,"Head and Norris, 1989",0.5 in nan_n_NP23,LO,NA,NA,29.57665,46.17257429
Marche,Gonyaulacaceae,Leptodinioideae,Areosphaeridium,diktyoplokum,NA,100% in NP22,"Biffi and Manum, 1988",1 in nan_n_NP22,LO,NA,NA,32.02,36.03377872
Arctic,Shublikodiniaceae,all,Rhaetogonyaulax,rhaetica,NA,0% Norian,"Mangerud et al., 2020",0 in stage_Norian,FO,NA,NA,227.3,46.718
Vega,misc,misc,Palaeostomocystis,tornatilis,NA,5% in athleta,"Århus et al., 1989",0.05 in amm_b_Peltoceras athleta,FO,NA,NA,162.887,49.36695
Scotian Margin,Pareodiniaceae,all,Batioladinium,micropodum,NA,92% in Albian,"Williams et al., 1993",0.92 in stage_Albian,LO,NA,NA,101.516,37.05188
North Sea Compilation,Pareodiniaceae,all,Batioladinium,micropodum,NA,100% inflatum,"Costa and Davey, 1992",1 in amm_b_Pervenquieria inflatum,LO,NA,NA,103.13,44.4748
Jutland,Gonyaulacaceae,Leptodinioideae,Areosphaeridium,diktyoplokum,NA,10% in C12r,"Śliwińska et al., 2012",0.1 in mag_C12r,LO,NA,NA,32.9903,50.751455
Vega,Gonyaulacaceae,other,Scriniodinium,crystallinum,NA,5% in athleta,"Århus et al., 1989",0.05 in amm_b_Peltoceras athleta,FO,NA,NA,162.887,49.36695
Vega,Gonyaulacaceae,other,Scriniodinium,anceps,NA,50% in baylei,"Århus et al., 1989",0.5 in amm_b_Pictonia baylei,FO,NA,NA,154.09,50.24325
Umbria-Marche,Gonyaulacaceae,Leptodinioideae,Areosphaeridium,diktyoplokum,NA,100% C13n,"Pross et al., 2010",1 in mag_C13n,LO,NA,NA,33.214,35.71370011
Vega,Gonyaulacaceae,other,Trichodinium,scarburghensis,NA,5% in athleta,"Århus et al., 1989",0.05 in amm_b_Peltoceras athleta,FO,NA,NA,162.887,49.36695
Arctic,Shublikodiniaceae,all,Rhaetogonyaulax,arctica,NA,0% Norian,"Mangerud et al., 2020",0 in stage_Norian,FO,NA,NA,227.3,46.718
Czestochowa,Gonyaulacaceae,Gonyaulacoideae,Gonyaulacysta,jurassica,adecta longicornis,75% in parkinsoni,"Poulsen, 1998",0.75 in amm_t_Parkinsonia parkinsoni,FO,NA,NA,168.3075,37.034625
959,Protoperidiniaceae,all,Phelodinium,magnificum,NA,100% in campanian,"Masure et al., 1998",1 in stage_Campanian,LO,NA,NA,72.17,-9.0264
Omsk No. 8,Protoperidiniaceae,all,Phelodinium,kozlowskii,NA,25% C25a,"Lebedeva et al., 2013",0.25 in nan_n_CC25a,FO,NA,NA,69.902,51.0049
Czestochowa,Gonyaulacaceae,Gonyaulacoideae,Escharisphaeridia,pelionensis,NA,85% in parkinsoni,"Poulsen, 1998",0.85 in amm_t_Parkinsonia parkinsoni,FO,NA,NA,168.2525,37.037375
Lemme,Areoligeraceae,all,Chiropteridium,galea,NA,25% N4b,"Powell, 1986",0.75 in plfor_A_N4,LO,NA,NA,21.722525,39.48222933
Scotian Margin,Areoligeraceae,all,Membranophoridium,aspinatum,NA,50% in aquitanian,"Williams et al., 1993",0.5 in stage_Aquitanian,LO,NA,NA,21.745,38.0208
Chesapeak Bay,Areoligeraceae,all,Chiropteridium,galea,NA,25% NN2,"De Verteuil and Norris, 1996",0.25 in nan_n_NN2,LO,NA,NA,21.805,34.6473
Jylland,Areoligeraceae,all,Chiropteridium,galea,NA,20% in NN2,"Dybkjaer and Piasecki, 2010",0.2 in nan_n_NN2,LO,NA,NA,21.98,51.3416
Scotian Margin,Peridiniaceae,Wetzelielloideae,Wetzeliella,symmetrica,NA,100% NP25,"Fensome et al., 2008",1 in nan_n_NP25,LO,NA,NA,23.126,37.79984
Scotian Margin,Peridiniaceae,Wetzelielloideae,Wetzeliella,gochtii,NA,75% between NP22/23 and NP25/NN1,"Fensome et al., 2008",0.75 between 0 nan_n_NP22 1 nan_n_NP25,LO,NA,NA,25.5745,37.40808
Lemme,Areoligeraceae,all,Chiropteridium,lobospinosum,NA,20% N4b,"Powell, 1986",0.6 in plfor_A_N4,LO,NA,NA,22.08404,39.43287344
Scotian Margin,Shublikodiniaceae,all,Rhaetogonyaulax,rhaetica,NA,75% in norian,"Williams et al., 1993",0.75 in stage_Norian,FO,NA,NA,211.13,18.1446
nw Pacific,Gonyaulacaceae,Cribroperidinioideae,Hystrichokolpoma,rigaudiae,NA,0% ionian,"Bujak and Matsuoka, 1986",0 in stage_Chibanian,LO,NA,NA,0.774,46.94768
nw Pacific,Gonyaulacaceae,Cribroperidinioideae,Operculodinium,crassum,NA,0% ionian,"Bujak and Matsuoka, 1986",0 in stage_Chibanian,LO,NA,NA,0.774,46.94768
Chesapeak Bay,Peridiniaceae,Deflandreoideae,Sumatradinium,soucouyantae,NA,100% NN10,"De Verteuil and Norris, 1996",1 in nan_n_NN10,LO,NA,NA,8.29,36.528
Scotian Margin,Peridiniaceae,Deflandreoideae,Palaeocystodinium,golzowense,NA,0% NN11,"Fensome et al., 2008",0 in nan_n_NN11,LO,NA,NA,8.29,40.9327
Kimmeridge Clay N Yorkshire,Goniodomaceae,all,Hystrichosphaeridium,petilum,NA,55% in hudlestoni,"Bailey et al., 1997",0.55 in amm_b_Pectinatites hudlestoni,FO,NA,NA,147.576,37.8768
Volga Basin,Goniodomaceae,all,Hystrichosphaeridium,petilum,NA,100% V. virgatus,"Harding et al., 2011",1 in amm_r_Virgatites virgatus,LO,NA,NA,144.72,43.604
Scotian Margin,Areoligeraceae,all,Membranophoridium,aspinatum,NA,25% between NP25/NN1 and NN2/3,"Fensome et al., 2008",0.25 between 1 nan_n_NP25 1 nan_n_NN2,LO,NA,NA,22.1395,37.95768
Central North Sea,Areoligeraceae,all,Chiropteridium,lobospinosum,NA,NN1,"Gradstein et al., 1992",0.5 in nan_n_NN1,LO,NA,NA,22.903,54.31305
North Sea Compilation,Areoligeraceae,all,Membranophoridium,aspinatum,NA,100% in P22,"Powell, 1992",1 in plfor_A_P22,LO,NA,NA,23.5301,47.64699
Cabo Mondego,Gonyaulacaceae,Gonyaulacoideae,Tubotuberella,dangeardii,NA,100% parkinsoni,"Correia et al., 2019",1 in amm_t_Parkinsonia parkinsoni,FO,NA,NA,168.17,26.6745
North Sea Compilation,Gonyaulacaceae,Gonyaulacoideae,Tubotuberella,apatela,NA,0% zigzag,"Riding and Thomas, 1992",0 in amm_b_Zigzagiceras zigzag,FO,NA,NA,168.17,35.0745
Q13_14,Goniodomaceae,all,Hystrichosphaeridium,arborispinum,NA,0% dichotomites,"Duxbury, 2001",0 in amm_b_Prodichotomites,FO,NA,NA,135.55,41.98166667
Haldager 1,Goniodomaceae,all,Hystrichosphaeridium,arborispinum,NA,100% S tuberculatum,"Davey, 1982",1 in amm_b_Stolcoceras tuberculatum,FO,NA,NA,132.75,41.33
North Sea Compilation,Goniodomaceae,all,Hystrichosphaeridium,arborispinum,NA,50% amblygonium,"Costa and Davey, 1992",0.5 in amm_b_Endemoceras amblygonium,FO,NA,NA,132.43,37.1682
Haldager 1,Goniodomaceae,all,Hystrichosphaeridium,recurvatum,NA,0% regale,"Davey, 1982",0 in amm_b_Endemoceras regale,FO,NA,NA,131.81,41.5932
Denmark3,Gonyaulacaceae,Gonyaulacoideae,Gonyaulacysta,jurassica,adecta,10% in Bathonian,"Poulsen and Riding, 2003 sensu Riding et al., 2010",0.1 in stage_Bathonian,FO,NA,NA,167.882,40.19652
nw Pacific,Gonyaulacaceae,Cribroperidinioideae,Operculodinium,wallii,NA,0% ionian,"Bujak and Matsuoka, 1986",0 in stage_Chibanian,LO,NA,NA,0.774,46.94768
1039,Gonyaulacaceae,Cribroperidinioideae,Hystrichokolpoma,denticulatum,NA,100% in calabrian,"Zegarra and Helenes, 2011",1 in stage_Calabrian,LO,NA,NA,0.774,9.064144
644,Gonyaulacaceae,Cribroperidinioideae,Operculodinium,crassum,NA,95% in Matuyama,"De Vernal et al., 1992",0.95 in mag_Matuyama,LO,NA,NA,0.78385,67
644,Gonyaulacaceae,Cribroperidinioideae,Operculodinium,israelianum,NA,95% in Matuyama,"De Vernal et al., 1992",0.95 in mag_Matuyama,LO,NA,NA,0.78385,67
959,Gonyaulacaceae,other,Melitasphaeridium,pseudorecurvatum,NA,80% CP6,"Awad and Oboh-Ikenobe, 2016",0.8 in nan_c_CP6,FO,NA,NA,57.78618,-9.778618
959,Gonyaulacaceae,other,Melitasphaeridium,pseudorecurvatum,NA,25% in CP8b,"Awad and Oboh-Ikenobe, 2016",0.25 in nan_c_CP8b,LO,NA,NA,55.7238275,-9.614921833
E67-135,Gonyaulacaceae,Cribroperidinioideae,Hystrichokolpoma,denticulatum,NA,55% in Matuyama,"De Vernal et al., 1992",0.55 in mag_Matuyama,LO,NA,NA,0.87065,20
400,Gonyaulacaceae,Cribroperidinioideae,Operculodinium,psilatum,NA,50% NN19,"Harland, 1979",0.5 in nan_n_NN19,LO,NA,NA,1.18,47.046
North Sea Compilation,Peridiniaceae,Deflandreoideae,Pyxidiella,simplex,NA,100% in N16,"Powell, 1992",1 in plfor_A_N16,LO,NA,NA,8.58,50.3976
638B,Goniodomaceae,all,Taleisphaera,hydra,NA,90% CC4b,"Masure, 1988",0.9 in nan_n_CC4b,FO,NA,NA,128.2987953,33.20621684
Cabo Mondego,Gonyaulacaceae,Gonyaulacoideae,Gonyaulacysta,jurassica,adecta,50% zigzag,"Correia et al., 2019",0.5 in amm_t_Zigzagiceras zigzag,FO,NA,NA,167.87,26.7195
Cabo Mondego,Gonyaulacaceae,Gonyaulacoideae,Gonyaulacysta,jurassica,adecta,60% zigzag,"Correia et al., 2019",0.6 in amm_t_Zigzagiceras zigzag,LO,NA,NA,167.81,26.7285
Gulf Coast1,Gonyaulacaceae,Cribroperidinioideae,Hystrichokolpoma,denticulatum,NA,25% in N22,"Wrenn and Kokinos, 1986",0.25 in plfor_A_N22,LO,NA,NA,1.4475,29.111825
Jutland,Peridiniaceae,Wetzelielloideae,Rhombodinium,draco,NA,25% in C8n.2n,"Śliwińska et al., 2012",0.25 in mag_C8n.2n,LO,NA,NA,25.81625,51.5347
Jutland,Peridiniaceae,Wetzelielloideae,Wetzeliella,symmetrica,NA,25% in C8n.2n,"Śliwińska et al., 2012",0.25 in mag_C8n.2n,LO,NA,NA,25.81625,51.5347
959,Gonyaulacaceae,other,Habibacysta,tectata,NA,50% CN2,"Awad and Oboh-Ikenobe, 2019",0.5 in nan_c_CN2,LO,NA,NA,18.475,-1.91875
638B,Goniodomaceae,all,Taleisphaera,hydra,NA,100% CC5,"Masure, 1988",1 in nan_n_CC5,LO,NA,NA,125.4232791,33.72380977
611,Gonyaulacaceae,Cribroperidinioideae,Operculodinium,crassum,NA,25% in NN19,"De Vernal et al., 1992",0.25 in nan_n_NN19,LO,NA,NA,1.555,50.344625
Scotian Margin,Gonyaulacaceae,Gonyaulacoideae,Gonyaulacysta,jurassica,NA,15% in bathonian,"Williams et al., 1993",0.15 in stage_Bathonian,FO,NA,NA,167.738,25.53336
Cabo Mondego,Gonyaulacaceae,Gonyaulacoideae,Gonyaulacysta,pectinigera,NA,75% zigzag,"Correia et al., 2019",0.75 in amm_t_Zigzagiceras zigzag,LO,NA,NA,167.72,26.742
Czestochowa,Gonyaulacaceae,Gonyaulacoideae,Gonyaulacysta,eisenackii,NA,60% in aurigerus,"Poulsen, 1998",0.6 in amm_t_Procerites aurigerus,FO,NA,NA,167.21,37.0895
Gibliscemi,Peridiniaceae,Deflandreoideae,Palaeocystodinium,golzowense,NA,20% C4r.2r,"Krijgsman et al., 1995",0.2 in mag_C4r.2r,LO,NA,NA,8.6768,34.26464
Marche,Peridiniaceae,Deflandreoideae,Palaeocystodinium,golzowense,NA,50% in C4An,"Zevenboom, 1995",0.5 in mag_C4An,LO,NA,NA,8.938,40.959926
synthesis N Germany,Peridiniaceae,Deflandreoideae,Palaeocystodinium,golzowense,NA,75% between 0% NN8 and 100% NN10*,"Köthe, 2012",0.75 between 0 nan_n_NN8 1 nan_n_NN10,LO,NA,NA,8.94,50.865
Marche,Peridiniaceae,Deflandreoideae,Palaeocystodinium,striatogranulosum,NA,50% in C5n,"Zevenboom, 1995",0.5 in mag_C5n,LO,NA,NA,10.421,40.55429425
North Sea Compilation,Peridiniaceae,Deflandreoideae,Palaeocystodinium,golzowense,NA,0% N15,"Powell, 1992",0 in plfor_A_N15,LO,NA,NA,10.54,49.8866
400,Peridiniaceae,Deflandreoideae,Palaeocystodinium,golzowense,NA,100% NN7,"Harland, 1979",1 in nan_n_NN7,LO,NA,NA,10.89,44.1775
Gulf Coast2,Peridiniaceae,Deflandreoideae,Palaeocystodinium,golzowense,NA,50% N14,"Duffield and Stein, 1986",0.5 in plfor_A_N14,LO,NA,NA,11.105,28.3337
Jylland,Peridiniaceae,Deflandreoideae,Palaeocystodinium,miocaenicum,NA,40% in NN7,"Dybkjaer and Piasecki, 2010",0.4 in nan_n_NN7,LO,NA,NA,11.484,53.11804
North Sea Compilation,Peridiniaceae,Deflandreoideae,Pyxidiella,simplex,NA,100% in NN6,"Powell, 1992",1 in nan_n_NN6,FO,NA,NA,11.88,49.6052
Marche,Peridiniaceae,Deflandreoideae,Palaeocystodinium,ventricosum,NA,50% C5A.1n,"Zevenboom, 1995",0.5 in mag_C5An.1n,LO,NA,NA,12.1115,40.08968483
Marche,Areoligeraceae,all,Chiropteridium,lobospinosum,NA,75% in NP25,"Biffi and Manum, 1988",0.75 in nan_n_NP25,LO,NA,NA,24.047,37.36282718
block15,Areoligeraceae,all,Chiropteridium,plexus,NA,100% CP19,"Torricelli et al., 2022",1 in nan_c_CP19,LO,NA,NA,24.36,-12.5104
block15,Areoligeraceae,all,Glaphyrocysta,exuberans,NA,100% CP19,"Torricelli et al., 2022",1 in nan_c_CP19,LO,NA,NA,24.36,-12.5104
Angola,Areoligeraceae,all,Chiropteridium,plexus,NA,0% in CN1,"Torricelli et al., 2022",0 in nan_c_CN1,LO,NA,NA,24.36,-0.2104
Angola,Areoligeraceae,all,Membranophoridium,aspinatum,NA,0% in CN1,"Torricelli et al., 2022",0 in nan_c_CN1,LO,NA,NA,24.36,-0.2104
Angola,Areoligeraceae,all,Glaphyrocysta,exuberans,NA,0% in CN1,"Torricelli et al., 2022",0 in nan_c_CN1,LO,NA,NA,24.36,-0.2104
1039,Peridiniaceae,Deflandreoideae,Palaeocystodinium,golzowense,NA,50% in serravallian,"Zegarra and Helenes, 2011",0.5 in stage_Serravallian,LO,NA,NA,12.735,0.012
U1356A,Peridiniaceae,Deflandreoideae,Palaeocystodinium,golzowense,NA,50% C5ACn,"Bijl et al., 2018",0.5 in mag_C5ACn,LO,NA,NA,13.9045,-59.97528
Shukheir-1,Peridiniaceae,Deflandreoideae,Palaeocystodinium,powellense,NA,50% NN5,"Soliman et al., 2012",0.5 in nan_n_NN5,LO,NA,NA,14.2602,24.805358
Pannonian Basin,Peridiniaceae,Deflandreoideae,Palaeocystodinium,miocaenicum,NA,40% in NN5,"Jiménez-Moreno et al., 2006",0.4 in nan_n_NN5,LO,NA,NA,14.38016,45.508472
Shukheir-1,Peridiniaceae,Deflandreoideae,Sumatradinium,hispidum,NA,100% NN4,"Soliman et al., 2012",1 in nan_n_NN4,LO,NA,NA,14.86,24.6794
Gulf Coast2,Peridiniaceae,Deflandreoideae,Palaeocystodinium,golzowense,NA,5% N9,"Duffield and Stein, 1986",0.05 in plfor_A_N9,FO,NA,NA,15.067,28.09598
611,Gonyaulacaceae,Cribroperidinioideae,Operculodinium,israelianum,NA,25% in NN19,"De Vernal et al., 1992",0.25 in nan_n_NN19,LO,NA,NA,1.555,50.344625
400,Gonyaulacaceae,Cribroperidinioideae,Operculodinium,crassum,NA,25% NN19,"Harland, 1979",0.25 in nan_n_NN19,LO,NA,NA,1.555,46.9335
607,Gonyaulacaceae,Cribroperidinioideae,Operculodinium,israelianum,NA,10% in NN19,"De Vernal et al., 1992",0.1 in nan_n_NN19,FO,NA,NA,1.78,39.596
607,Gonyaulacaceae,Cribroperidinioideae,Operculodinium,psilatum,NA,50% in NN18,"De Vernal et al., 1992",0.1 in nan_n_NN19,FO,NA,NA,1.78,39.596
959,Gonyaulacaceae,other,Coronifera,oceanica,NA,50% in coniacian,"Masure et al., 1998",0.5 in stage_Coniacian,FO,NA,NA,87.545,-7.57005
Scotian Margin,Areoligeraceae,all,Chiropteridium,galea,NA,25% between NP25/NN1 and NN2/3,"Williams et al., 2004 sensu Fensome et al., 2008",0.25 between 0 nan_n_NP25 1 nan_n_NN2,LO,NA,NA,24.9025,37.5156
611,Gonyaulacaceae,Cribroperidinioideae,Operculodinium,janduchenei,NA,90% in NN18,"De Vernal et al., 1992",0.9 in nan_n_NN18,LO,NA,NA,1.976,50.2078
Denmark3,Shublikodiniaceae,all,Dapcodinium,priscum,NA,0% in Rhaetian,"Poulsen and Riding, 2003 sensu Riding et al., 2010",0 in stage_Rhaetian,FO,NA,NA,205.74,41.1282
Viborg-1,Ptychodiscaceae,Dinogymnioideae,Dinogymnium,sibiricum,NA,30% between 0% NP5 and 100% NP8,"Heilmann-Clausen, 1985",0.3 between 0 nan_n_NP5 1 nan_n_NP8,LO,NA,NA,60.059059,45.6059059
Viborg-1,Ptychodiscaceae,Dinogymnioideae,Dinogymnium,sibiricum,NA,20% between 0% NP5 and 100% NP8,"Heilmann-Clausen, 1985",0.2 between 0 nan_n_NP5 1 nan_n_NP8,FO,NA,NA,60.464196,45.6464196
Hor Harar,Ptychodiscaceae,Dinogymnioideae,Dinogymnium,acuminatum,NA,100% P1a,"Eshet et al., 1992",1 in plfor_B_P1a,LO,NA,NA,65.1972,12.68028
Central Danish Trough,Goniodomaceae,all,Hystrichosphaeridium,arborispinum,NA,0% rudefissicostatum,"Heilmann-Clausen, 1987",0 in amm_b_Haplocrioceras fissicostatum,FO,NA,NA,125.32,43.072
Rio Argos,Goniodomaceae,all,Hystrichosphaeridium,arborispinum,NA,10% vandenheckii,"Leereveld, 1997a",0.1 in amm_t_Toxancyloceras vandenheckii,FO,NA,NA,124.259,25.82959673
Rio Argos,Goniodomaceae,all,Hystrichosphaeridium,recurvatum,NA,100% feraudianus,"Leereveld, 1997a",1 in amm_t_Gerhardtia sartousi,LO,NA,NA,122.01,26.39234573
