location,Family,Subfamily,genus,species,subspecies,original entry,Source,Calibration,FO_LO,...11,...12,Age,pal_lat
Western Carpathians,Gonyaulacaceae,Leptodinioideae,Oligosphaeridium,verrucosum,NA,100% jacobi,"Skupien, 2004",1 in amm_t_Leymeriella germanica,LO,NA,NA,111.27,39.1841
Western Carpathians,Peridiniaceae,other,Ovoidinium,scabrosum,NA,90% jacobi,"Skupien, 2004",0.5 in amm_t_Leymeriella germanica,FO,NA,NA,111.61,39.1263
Western Carpathians,Peridiniaceae,other,Ovoidinium,verrucosum,NA,0% dispar,"Skupien, 2004",0 in amm_t_Pervenquieria fallax,FO,NA,NA,103.13,40.567899999999995
Western Carpathians,Peridiniaceae,Palaeoperidinioideae,Palaeohystrichophora,infusorioides,NA,0% dispar,"Skupien, 2004",0 in amm_t_Pervenquieria fallax,FO,NA,NA,103.13,40.567899999999995
Western Carpathians,Gonyaulacaceae,other,Pervosphaeridium,truncatum,NA,100% latus,"Skupien, 2004",1 in amm_t_no agreed zonation,FO,NA,NA,107.59,39.8097
Western Carpathians,Gonyaulacaceae,other,Protoellipsodinium,clavulus,NA,100% latus,"Skupien, 2004",1 in amm_t_no agreed zonation,LO,NA,NA,107.59,39.8097
Western Carpathians,Gonyaulacaceae,other,Protoellipsodinium,spinosum,NA,100% dispar,"Skupien, 2004",1 in amm_t_Arrhaphoceras briacensis,LO,NA,NA,100.25,41.0575
Western Carpathians,Gonyaulacaceae,other,Protoellipsodinium,spinocristatum,NA,100% dispar,"Skupien, 2004",1 in amm_t_Arrhaphoceras briacensis,LO,NA,NA,100.25,41.0575
Western Carpathians,Ceratiaceae,all,Pseudoceratium,polymorphum,NA,100% dentatus,"Skupien, 2004",1 in amm_t_Lyelliceras lyelli,LO,NA,NA,109.69,39.4527
Western Carpathians,Gonyaulacaceae,Leptodinioideae,Stanfordella,cretacea,NA,100% dentatus,"Skupien, 2004",1 in amm_t_Lyelliceras lyelli,LO,NA,NA,109.69,39.4527
Western Carpathians,Gonyaulacaceae,other,Surculosphaeridium,longifurcatum,NA,100% mammillatum,"Skupien, 2004",1 in amm_t_Douvilleiceras mammillatum,FO,NA,NA,110.22,39.3626
